gene_id,Flight_Rep1,Flight_Rep2,Flight_Rep3,GC_Rep1,GC_Rep2,GC_Rep3
b0001,1128,924,790,1127,668,1026
b0002,768,973,783,1618,1070,436
b0003,901,848,1029,861,731,848
b0004,1227,1468,940,1502,914,1051
b0005,1231,1094,751,853,840,720
b0006,480,998,922,620,1461,574
b0007,961,826,772,891,577,1000
b0008,1156,1015,1013,766,707,1236
b0009,874,769,898,2081,944,1173
b0010,831,1253,998,636,1180,1156
b0011,1265,1179,1872,513,949,605
b0012,1758,1160,1085,1254,637,1260
b0013,1350,789,697,930,838,1012
b0014,1027,775,1761,452,1029,806
b0015,1115,741,1197,1142,915,1337
b0016,1128,932,713,1795,957,695
b0017,1040,742,808,1019,1107,1405
b0018,1067,707,1032,972,1849,736
b0019,710,801,1240,854,637,1624
b0020,547,1428,935,1046,1179,652
b0021,1374,938,1139,1427,626,450
b0022,511,886,1060,709,757,708
b0023,1737,1009,946,879,580,1467
b0024,2245,1319,811,685,1004,698
b0025,1242,1641,828,708,923,675
b0026,967,1189,546,936,735,955
b0027,1248,638,1042,789,1028,850
b0028,1287,857,1010,1634,592,1408
b0029,844,740,1355,835,1224,680
b0030,557,1496,1046,1206,1606,770
b0031,965,1370,723,549,848,604
b0032,1666,1304,2022,946,888,801
b0033,1356,442,625,1571,782,1138
b0034,823,1326,1108,603,547,1135
b0035,798,1078,1031,497,1023,662
b0036,1053,1284,797,941,684,610
b0037,697,1189,1290,772,1212,783
b0038,938,1194,1236,1176,1102,1041
b0039,980,1154,1049,820,1323,600
b0040,969,1322,847,1461,675,764
b0041,1290,955,1015,1967,1420,768
b0042,1569,1680,1052,1052,920,1670
b0043,1945,783,1194,1362,1501,1207
b0044,1417,737,1120,1905,1224,997
b0045,1009,778,1518,930,1070,823
b0046,1185,971,619,1523,1156,1159
b0047,889,1436,1027,754,577,1209
b0048,974,630,831,767,750,1069
b0049,1221,1027,1438,965,757,829
b0050,1611,1037,900,519,1049,1372
b0051,1141,566,1083,1015,1224,329
b0052,816,1032,1270,782,890,1710
b0053,995,941,1070,473,1316,303
b0054,1105,701,1270,1161,1356,1317
b0055,964,1106,1402,652,893,952
b0056,723,613,1290,850,1337,2028
b0057,1273,1032,512,910,648,1240
b0058,782,1134,944,1005,606,773
b0059,693,1743,975,921,748,1504
b0060,1084,1512,772,607,1046,1243
b0061,825,911,910,753,705,865
b0062,1051,783,788,596,1121,1886
b0063,1303,820,1167,753,1452,1126
b0064,968,1124,642,1183,978,840
b0065,852,1013,589,914,770,362
b0066,956,1095,825,707,760,1310
b0067,1215,1014,1651,941,620,660
b0068,1401,1164,1430,1171,998,1000
b0069,678,441,1088,1291,903,1501
b0070,1056,790,1039,2020,891,589
b0071,809,1136,905,944,1604,856
b0072,523,1416,1526,1688,713,984
b0073,642,907,698,1694,1646,1488
b0074,1053,882,597,314,748,1191
b0075,903,875,1492,923,418,1326
b0076,563,800,513,1406,695,980
b0077,676,318,960,724,817,728
b0078,895,550,916,2270,1283,812
b0079,1096,686,701,1125,948,1149
b0080,1424,1951,992,1418,1374,903
b0081,863,689,1043,966,1083,896
b0082,666,799,1220,1288,1327,914
b0083,1103,1042,680,1354,887,836
b0084,1244,1623,1013,1303,1297,1102
b0085,1118,1455,970,597,913,1576
b0086,817,768,897,598,481,948
b0087,1281,957,1023,1157,758,958
b0088,431,705,997,1113,1233,1051
b0089,946,854,1445,728,1333,812
b0090,1233,505,644,905,778,882
b0091,911,1046,820,947,1223,878
b0092,910,1107,1147,1050,441,1205
b0093,1303,1692,1079,1064,1121,846
b0094,487,1401,1311,1034,892,907
b0095,1171,1036,670,605,1156,1140
b0096,1068,1316,793,867,976,719
b0097,789,682,1176,590,302,989
b0098,1113,1098,699,768,881,993
b0099,859,1240,1031,806,938,945
b0100,953,1141,858,1474,1158,682
b0101,611,1542,1004,668,880,696
b0102,1228,1225,609,601,1008,972
b0103,923,583,908,999,1363,1128
b0104,712,635,790,1755,896,780
b0105,605,955,551,1137,1057,939
b0106,714,1170,651,1148,1733,907
b0107,1551,809,452,1206,844,1186
b0108,700,603,651,1074,1117,1048
b0109,447,1061,735,679,532,753
b0110,798,1489,1009,1433,844,1071
b0111,879,1595,812,713,677,875
b0112,586,786,1221,1050,854,695
b0113,1298,1021,554,1318,643,1409
b0114,806,599,1066,762,478,680
b0115,966,960,1542,1403,1208,1597
b0116,1145,1057,618,1091,973,882
b0117,1571,1412,714,779,821,1094
b0118,1137,615,1313,1924,596,1254
b0119,798,1311,792,1403,1240,1047
b0120,2162,1372,919,1013,1051,2259
b0121,1761,628,1249,1229,731,600
b0122,596,797,707,1134,667,1028
b0123,910,586,1080,1587,640,886
b0124,985,1069,809,1029,722,652
b0125,1201,669,1192,1233,849,825
b0126,980,1252,654,708,716,1527
b0127,989,1108,1273,585,660,454
b0128,1034,910,1092,539,666,867
b0129,1173,1475,997,938,1089,451
b0130,1678,810,1262,1393,1663,812
b0131,1094,1068,1090,845,685,1140
b0132,1034,1215,868,726,875,869
b0133,803,826,802,684,851,1031
b0134,964,720,1690,1280,941,577
b0135,541,761,1688,1535,1004,685
b0136,680,1032,778,1088,1092,1329
b0137,739,788,330,798,1214,1029
b0138,867,1070,554,1234,754,1143
b0139,962,1486,1584,1316,763,946
b0140,1114,895,924,574,730,1580
b0141,712,743,485,1007,1291,1023
b0142,1183,1080,601,1912,1103,618
b0143,845,1647,916,1391,541,342
b0144,459,845,381,762,1097,997
b0145,1069,1366,767,941,542,1114
b0146,619,1610,1068,932,922,1286
b0147,914,1164,768,1316,615,1108
b0148,1072,1052,780,831,487,1401
b0149,520,1468,1235,422,963,727
b0150,307,852,763,1122,898,875
b0151,660,757,645,872,846,1176
b0152,863,1127,673,777,1380,633
b0153,725,1166,1032,671,636,1791
b0154,1015,1286,924,1235,1241,1296
b0155,1351,1453,1021,1123,707,1443
b0156,516,1492,1385,1082,1072,717
b0157,1567,952,930,1099,992,638
b0158,667,1246,1418,590,667,1378
b0159,749,823,679,537,862,975
b0160,1458,1583,1799,1376,1226,994
b0161,1064,1534,985,919,1181,944
b0162,775,846,638,829,1110,1342
b0163,1110,636,1182,623,917,760
b0164,1586,1605,1048,575,990,657
b0165,1357,1432,1498,1141,1182,1667
b0166,962,941,1392,746,736,1111
b0167,788,646,932,646,1287,661
b0168,804,551,1165,1000,1291,1004
b0169,1025,993,1785,1387,786,714
b0170,1878,628,1275,1770,949,949
b0171,982,1340,1252,704,1268,1081
b0172,1040,764,685,1118,736,887
b0173,736,1181,1171,619,1230,656
b0174,842,1429,926,1201,879,686
b0175,688,1080,964,2255,1847,790
b0176,1123,498,973,701,1120,438
b0177,987,1391,861,1020,988,680
b0178,1399,708,735,500,912,1120
b0179,843,1091,1376,1019,902,675
b0180,692,990,473,677,481,829
b0181,1054,1351,1099,1343,1059,1584
b0182,1269,1435,663,734,858,1064
b0183,1518,645,577,599,978,432
b0184,894,900,1335,810,905,1117
b0185,746,976,1110,855,861,1186
b0186,1435,862,771,1125,1098,774
b0187,794,904,1193,1707,1437,1138
b0188,1474,1065,445,515,819,465
b0189,871,315,749,649,1056,813
b0190,913,770,860,628,960,748
b0191,1177,2136,698,1036,668,1075
b0192,1115,742,866,861,1285,998
b0193,941,997,897,992,932,1105
b0194,1366,714,872,490,1047,658
b0195,1312,1404,1203,1542,806,1026
b0196,1130,852,894,850,903,1113
b0197,1012,833,1941,751,1331,523
b0198,690,684,774,691,948,1118
b0199,393,1246,1033,949,1506,883
b0200,966,561,1030,618,1270,856
b0201,595,1257,454,942,684,992
b0202,625,881,647,1015,589,528
b0203,1104,1014,968,955,1600,805
b0204,520,1127,769,966,937,495
b0205,1165,1197,756,971,1244,1173
b0206,1086,699,773,870,1073,782
b0207,1259,1293,907,1238,677,368
b0208,1468,626,1034,766,828,1192
b0209,1176,1186,1079,1505,1386,1060
b0210,1225,1380,944,1092,1268,1138
b0211,608,1101,1146,767,1226,1547
b0212,531,1105,1154,887,866,677
b0213,818,1341,947,766,1192,769
b0214,1013,1161,1239,717,626,1562
b0215,1303,696,813,879,734,1301
b0216,921,1388,1133,452,903,1219
b0217,875,1155,1482,826,716,1228
b0218,568,774,497,335,570,1018
b0219,1178,1779,844,820,1271,519
b0220,1236,1328,655,1161,1240,1109
b0221,1252,1145,815,1074,1791,1377
b0222,1306,1064,1489,1004,713,963
b0223,949,691,847,847,744,1151
b0224,653,989,1159,960,1030,1023
b0225,435,888,1101,466,851,540
b0226,1235,459,1483,712,942,1010
b0227,1129,1148,689,993,459,804
b0228,1134,972,1290,1252,896,527
b0229,609,1059,1368,1415,750,1514
b0230,754,945,807,651,1032,729
b0231,1339,896,1578,1075,616,947
b0232,910,1371,997,781,1053,1445
b0233,931,1163,753,885,669,439
b0234,682,1272,1004,1998,787,918
b0235,814,837,765,966,455,1700
b0236,1795,637,1250,1129,1556,1105
b0237,476,921,680,683,906,550
b0238,659,932,1018,1461,1281,1857
b0239,578,1672,762,991,1040,1029
b0240,934,594,560,804,904,990
b0241,1056,1075,822,1137,962,863
b0242,714,939,948,937,1042,608
b0243,961,1015,1389,483,800,934
b0244,699,1274,1309,865,982,1089
b0245,1607,993,1174,1300,594,1406
b0246,1279,970,683,765,556,1704
b0247,1262,809,1381,2021,528,631
b0248,1530,1097,569,661,1237,1110
b0249,828,1385,904,1097,1321,1005
b0250,1017,1332,892,1207,796,1571
b0251,1192,1112,525,649,928,554
b0252,706,935,1126,849,1200,1016
b0253,558,464,594,1314,462,1056
b0254,554,1387,752,1138,1015,635
b0255,713,492,1183,754,762,854
